Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
4252, 795.069700, 416.636450, 664.190500, 423.997400, 344.787850
4253, 794.296800, 411.823200, 665.475000, 427.626800, 342.364650
4254, 792.976150, 409.869500, 664.174150, 422.026600, 350.017850
4255, 798.561500, 414.490750, 667.483750, 425.024600, 345.270450
4256, 788.854650, 416.609050, 658.741750, 424.312650, 354.711100
4257, 794.352150, 418.578900, 797.882550, 427.521150, 391.662700
4258, 792.701550, 412.946900, 793.594850, 427.447700, 411.844850
4259, 798.459650, 414.750050, 668.564250, 430.282250, 387.684100
4260, 794.124050, 417.738150, 664.861200, 513.436200, 351.014650
4261, 661.527600, 349.297750, 662.168300, 429.124500, 344.584500
4262, 791.322550, 415.364450, 662.329550, 431.214800, 344.774800
4263, 800.352500, 410.467050, 669.155450, 429.780000, 367.201550
4264, 795.857950, 412.297400, 666.404000, 420.550400, 391.513500
4265, 793.745100, 416.849450, 663.021800, 430.123450, 345.351250
4266, 797.686850, 411.842450, 666.570750, 428.277400, 343.858850
4267, 795.482300, 417.359700, 665.207900, 511.831100, 366.328750
4268, 796.853850, 416.177800, 664.542400, 520.426450, 350.798150
4269, 794.126000, 418.428500, 663.338850, 433.168800, 361.915500
4270, 666.023400, 344.649150, 667.100750, 425.513950, 345.753700
4271, 799.269400, 413.979400, 667.634200, 429.789450, 343.993900
4272, 799.094700, 426.023500, 668.198600, 436.498750, 352.066950
4273, 799.557950, 428.316550, 665.846800, 436.123600, 354.001200
4274, 798.240450, 426.251700, 669.163650, 521.593300, 353.496650
4275, 799.477200, 418.010450, 668.759600, 433.917700, 348.333150
4276, 798.736850, 416.130950, 668.860800, 430.240200, 345.200400
4277, 936.658300, 499.617650, 804.803450, 434.194900, 424.864450
4278, 804.636550, 419.216800, 806.522200, 430.051050, 349.336100
4279, 799.674700, 422.157000, 667.860050, 430.946000, 349.076150
4280, 928.863900, 495.977150, 667.724100, 430.007200, 420.148300
4281, 671.598800, 349.654500, 674.790250, 433.172600, 350.255400
4282, 805.384450, 419.686500, 805.577100, 431.209100, 383.194750
4283, 797.514650, 418.537250, 668.999650, 431.609300, 404.812650
4284, 668.595900, 351.735550, 669.421550, 433.596000, 354.664550
4285, 801.064550, 418.524700, 670.455000, 432.362800, 355.647900
4286, 809.526800, 422.772050, 677.285800, 437.553000, 410.802200
4287, 807.424300, 422.975050, 677.124700, 430.795400, 352.245200
4288, 806.872950, 425.067500, 675.131100, 431.379300, 353.212850
4289, 810.182250, 412.515850, 676.893500, 429.634950, 344.707450
4290, 801.985750, 418.753500, 674.876650, 428.606850, 351.894450
